## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.type,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
rA43HDI5W,Cardigan court,mode,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/e7e9d9a76e0ce44e?v=1772722523829,25.99,beFydZ3A0,50,7.31,mobile,,,,,,,,,,
muUX6ZPiq,Jupe longue,mode,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/6813c408b8543d32?v=1772722935051,49.99,product1,50,9.68,mobile,,,,,,,,,,
UqIIK34yR,Robe courte rayée,mode,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/032ba35bf530becf?v=1772722962676,89,product2,50,8.53,mobile,,,,,,,,,,
g$v4_nTJW,Gilet sans manches,mode,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/b79a3e953a0fc302?v=1772722987311,39.99,product3,50,3.34,mobile,,,,,,,,,,
bxGsVrNPf,Chemise rayée brodée,mode,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/a9409ff4a1d7099b?v=1772723011333,45.99,product4,50,5.5,mobile,,,,,,,,,,
cg96IlHCB,Canapé droit 3places,mobilier,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/b29db0af47e28461?v=1772725154140,899,csDSmRZqfi,60,2.01,mobile,,,,,,,,,,
2ppdZbCX2,Fauteuil lounge,mobilier,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/decee9a318f56848?v=1772725128428,489,3st8gUdg2,60,6.25,mobile,,,,,,,,,,
AVeU43Gxm,Canapé d'angle gauche,mobilier,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/d94c6328f59e6c99?v=1772725185546,2799,beFydZ3A0,60,1.84,mobile,,,,,,,,,,
hP1wuRHVO,Fauteuil en velours,mobilier,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/adb65215b3e557b2?v=1772725207714,299,0ilDBvrq5,60,1.26,mobile,,,,,,,,,,
uKc_5CybL,Canapé 3 places modulable,mobilier,test,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/jfuselli-0412/6b91ddaebf689896?v=1772725225622,2200,TcIKW8jO3,60,3.65,mobile,,,,,,,,,,
xKX7ALEHo,Table de jardin à allonge,jardin,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/sacker-0VLO/ad3e47e6aa9a258d?v=1773222312084,419,WIUp$UQm7,70,8.07,mobile,,,,,,,,,,
8tDJTCzyl,Table de jardin pliante,jardin,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/sacker-0VLO/1ab1576944ca086e?v=1773222345063,749,NvmF4ll8f,70,8.03,mobile,,,,,,,,,,
JQdfevUmGR,Table de jardin ovale,jardin,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/sacker-0VLO/59bf08d7472271c9?v=1773222378239,449,O7UJVpmhZ,70,5.69,mobile,,,,,,,,,,
f6hoLiBVF,Table de jardin plaible,jardin,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/sacker-0VLO/337b517ce8418ffe?v=1773222412018,329,AS6ajSHCp,70,8.13,mobile,,,,,,,,,,
11Rs508b0,Table de jardin ovale,jardin,,https://dsn-upload.s3.us-east-2.amazonaws.com/projects/sacker-0VLO/9794a7a1c4770827?v=1773222443600,799,Kj_kPyq4d,70,6.19,mobile,,,,,,,,,,
